,year,country,admin1,admin2,hhid,hhweight,urban,hhsize,head_age,head_male,head_literate,nrooms,tv,music,fridge,exp,totbiom_cons,elec_cons,gas_cons,frwd_exp,frwd_cons,petrol_exp,scooter,car,publictransport_exp,publictransport,washmach,elec_any
104,2011,IND,Jammu and Kashmir,Baramula,102071501,1844.57654723,1,,57.0,1.0,1.0,,1,,1,,,,,,,0.0,0,0,,1,1,1
105,2011,IND,Jammu and Kashmir,Baramula,102080201,1844.57654723,1,2.0,48.0,1.0,1.0,1.0,0,,0,2480.57175185787,0.0,3.24,0.80051612903226,0.0,0.0,0.0,0,0,256.7428923328365,1,0,1
106,2011,IND,Jammu and Kashmir,Baramula,102080301,1844.57654723,1,7.0,57.0,1.0,0.0,4.0,1,,0,1831.0251035737,0.6996638398046571,0.9935999999999999,0.18453456221198142,0.0,0.0,0.0,0,0,115.82386120278342,1,0,1
107,2011,IND,Jammu and Kashmir,Baramula,102080401,1844.57654723,1,8.0,44.0,0.0,0.0,2.0,1,,0,928.3470152955963,0.4575128573424094,0.0,0.0,0.0,0.0,0.0,0,0,11.260653172492837,1,0,1
108,2011,IND,Jammu and Kashmir,Baramula,102080501,1844.57654723,1,5.0,55.0,1.0,0.0,2.0,0,,0,1918.815300592778,1.8,1.296,0.0,90.0852253799426,9.0,0.0,0,0,63.0596577659598,1,0,1
109,2011,IND,Jammu and Kashmir,Baramula,102080601,1844.57654723,1,7.0,42.0,1.0,1.0,3.0,1,,0,,1.836734693877551,0.8331428571428571,1.1435944700460827,128.69317911420384,,0.0,0,0,64.34658955710185,1,0,1
110,2011,IND,Jammu and Kashmir,Baramula,102080701,1844.57654723,1,5.0,46.0,1.0,1.0,2.0,1,,0,,1.8,1.36944,1.601032258064516,90.0852253799426,9.0,0.0,0,0,306.289766291806,1,0,1
111,2011,IND,Jammu and Kashmir,Baramula,102080801,1844.57654723,1,,67.0,1.0,0.0,5.0,1,,0,,,,,,,0.0,0,0,,1,0,1
112,2011,IND,Jammu and Kashmir,Baramula,102080901,1844.57654723,1,8.0,47.0,1.0,0.0,4.0,1,,0,1537.3419066193,0.43842590765687034,0.81,0.22741935483871,0.0,0.0,0.0,0,0,180.170450759885,1,0,1
113,2011,IND,Jammu and Kashmir,Baramula,102081001,1844.57654723,1,7.0,47.0,1.0,1.0,3.0,0,,0,1749.1333439307,0.04979439749672531,0.9257142857142858,1.2995391705069128,0.0,0.0,0.0,0,0,167.30113284846428,1,0,1
114,2011,IND,Jammu and Kashmir,Baramula,102081101,1844.57654723,1,6.0,36.0,1.0,0.0,3.0,1,,0,1416.2148139938483,0.7644333786588361,0.54,0.3790322580645167,0.0,0.0,0.0,0,0,90.08522537994266,1,0,1
115,2011,IND,Jammu and Kashmir,Baramula,102081301,1844.57654723,1,6.0,42.0,1.0,1.0,3.0,1,,0,1425.2733838792767,2.0825,0.9,0.5063870967741934,125.06832123582033,12.495,0.0,0,0,75.07102114995216,1,0,1
116,2011,IND,Jammu and Kashmir,Baramula,102081401,1844.57654723,1,4.0,59.0,1.0,1.0,5.0,1,,1,3755.014942410025,0.0,1.7118,2.2741935483870974,0.0,0.0,0.0,0,0,225.21306344985675,1,0,1
117,2011,IND,Jammu and Kashmir,Baramula,102081501,1844.57654723,1,10.0,62.0,1.0,1.0,4.0,1,,0,1158.52602679452,0.5246999999999999,0.648,0.0,52.5196863965066,5.247,0.0,0,0,54.051135227965595,1,0,1
118,2011,IND,Jammu and Kashmir,Srinagar,103010101,1844.57654723,1,,60.0,1.0,0.0,9.0,1,,1,,,,,,,0.0,0,0,,1,1,1
119,2011,IND,Jammu and Kashmir,Srinagar,103010501,1844.57654723,1,5.0,60.0,0.0,0.0,2.0,1,,0,1343.050596781106,0.0,1.9440000000000002,0.0,0.0,0.0,0.0,0,0,54.051135227965595,1,0,1
120,2011,IND,Jammu and Kashmir,Srinagar,103010701,1844.57654723,1,6.0,55.0,1.0,0.0,4.0,1,,1,2765.5663718168,0.0,1.5048000000000001,1.5767741935483865,0.0,0.0,0.0,0,0,45.04261268997133,1,1,1
