"year","country","admin1","variable","value"
"2004","IND","Tamil Nadu","elec_cons",0.873863509598601
"2004","IND","Tripura","elec_cons",0.583874318991493
"2004","IND","Uttar Pradesh","elec_cons",0.485563725095148
"2004","IND","Uttaranchal","elec_cons",0.378970826960583
"2004","IND","West Bengal","elec_cons",0.459059297738861
"2004","IND","Andhra Pradesh","gas_cons",0.607750937403224
"2004","IND","Arunachal Pradesh","gas_cons",1.0525796813063
"2004","IND","Assam","gas_cons",0.659471518338908
"2004","IND","Bihar","gas_cons",0.741512051304084
"2004","IND","Chandigarh","gas_cons",1.60825025229524
"2004","IND","Chhattisgarh","gas_cons",0.428000357970378
"2004","IND","Dadra and Nagar Haveli","gas_cons",1.5239067409258
"2004","IND","Daman and Diu","gas_cons",0.932855835586129
"2004","IND","Delhi","gas_cons",1.69107904355915
"2004","IND","Goa","gas_cons",1.45603202668332
"2004","IND","Gujarat","gas_cons",0.728268802134919
"2004","IND","Haryana","gas_cons",1.33431761494136
"2004","IND","Himachal Pradesh","gas_cons",1.05268054760709
"2004","IND","Jammu and Kashmir","gas_cons",1.30410065981489
"2004","IND","Jharkhand","gas_cons",0.296570792131459
"2004","IND","Karnataka","gas_cons",0.5142675740717
"2004","IND","Kerala","gas_cons",1.33259901703257
"2004","IND","Madhya Pradesh","gas_cons",0.260094745199054
"2004","IND","Maharashtra","gas_cons",0.61304696949126
"2004","IND","Manipur","gas_cons",1.32016152672324
"2004","IND","Meghalaya","gas_cons",0.551544718922375
"2004","IND","Mizoram","gas_cons",1.97944063095026
"2004","IND","Nagaland","gas_cons",1.18625626886442
"2004","IND","Orissa","gas_cons",0.466518611447122
"2004","IND","Pondicherry","gas_cons",0.722150904545585
"2004","IND","Punjab","gas_cons",1.43974595903989
"2004","IND","Rajasthan","gas_cons",0.520894252475721
"2004","IND","Sikkim","gas_cons",1.86965988822155
"2004","IND","Tamil Nadu","gas_cons",0.909037932599888
"2004","IND","Tripura","gas_cons",1.06256807029569
"2004","IND","Uttar Pradesh","gas_cons",0.894654976089733
"2004","IND","Uttaranchal","gas_cons",1.34367088399379
"2004","IND","West Bengal","gas_cons",0.65052660358713
"2004","IND","Andhra Pradesh","totbiom_cons",2.33634592888185
"2004","IND","Arunachal Pradesh","totbiom_cons",0.806627288699018
"2004","IND","Assam","totbiom_cons",1.93577164573934
"2004","IND","Bihar","totbiom_cons",0.823910541902583
"2004","IND","Chandigarh","totbiom_cons",0.117283106498353
"2004","IND","Chhattisgarh","totbiom_cons",1.51905399669895
"2004","IND","Dadra and Nagar Haveli","totbiom_cons",0.495962966096544
"2004","IND","Daman and Diu","totbiom_cons",2.67122453460895
"2004","IND","Delhi","totbiom_cons",0.131086985917698
"2004","IND","Goa","totbiom_cons",0.0575250379006516
"2004","IND","Gujarat","totbiom_cons",0.859832084977212
"2004","IND","Haryana","totbiom_cons",1.50796324551585
"2004","IND","Himachal Pradesh","totbiom_cons",1.45373720674032
"2004","IND","Jammu and Kashmir","totbiom_cons",0.754560972380631
"2004","IND","Jharkhand","totbiom_cons",1.27067323953478
"2004","IND","Karnataka","totbiom_cons",1.62896964814832
"2004","IND","Kerala","totbiom_cons",1.90496945528716
